variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
gain_4,straight,6303,0.266371930012713,0.269346620346617,-0.256629698746345,0.0132224517455833,0.269852150491929,0.265976737952602,1,1.555762,Diagnostic perturbation; certificate not transferred
gain_4,turning,4484,0.275953422710752,0.244772830548226,-0.109418123904295,0.0619937388448885,0.171411862749184,0.282115083643522,0.985909332706705,1.555762,Diagnostic perturbation; certificate not transferred
gain_4,moving_first60,5098,0.299473442994778,0.276127437100964,-0.251438977836538,0.0244825888211199,0.275921566657658,0.302041165178377,0.987606404051955,1.555762,Diagnostic perturbation; certificate not transferred
gain_4,moving_later,5689,0.241381672207173,0.247935745439732,-0.145250826116084,0.0415730006192339,0.186823826735318,0.243635467158735,1,1.555762,Diagnostic perturbation; certificate not transferred
gain_10,all,11690,0.264549565734253,0.254578064752263,-0.170988710721042,0.0389146370863675,0.209903347807409,0.266663515515635,0.917349653366712,1.568608,Diagnostic perturbation; certificate not transferred
gain_10,moving,10787,0.268958777440542,0.261369496280339,-0.193123443704999,0.0358085018885825,0.228931945593582,0.271590839204247,0.994142713252699,1.568608,Diagnostic perturbation; certificate not transferred
gain_10,straight,6303,0.263600750898196,0.266864282963848,-0.254070169833529,0.0157819806583999,0.269852150491929,0.263397835777327,1,1.568608,Diagnostic perturbation; certificate not transferred
gain_10,turning,4484,0.276314753494805,0.246793981636143,-0.107452789202742,0.0639590735464417,0.171411862749184,0.282706282937443,0.985909332706705,1.568608,Diagnostic perturbation; certificate not transferred
gain_10,moving_first60,5098,0.296934638645081,0.271537915817731,-0.248597009974724,0.0273245566829337,0.275921566657658,0.299765459991154,0.987606404051955,1.568608,Diagnostic perturbation; certificate not transferred
gain_10,moving_later,5689,0.241147473071872,0.247667021862315,-0.14341273165665,0.0434110950786681,0.186823826735318,0.243590119535015,1,1.568608,Diagnostic perturbation; certificate not transferred
master_gain_3,all,11690,0.271147558259812,0.238367315843366,-0.17909589187121,0.0308074559361995,0.209903347807409,0.271116559076349,0.917349653366712,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_3,moving,10787,0.27598773768179,0.246843326256255,-0.201909292193501,0.0270226534000811,0.228931945593582,0.276327363338225,0.994142713252699,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_3,straight,6303,0.278944613978347,0.280143684899522,-0.267096753226208,0.0027553972657199,0.269852150491929,0.272784975898143,1,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_3,turning,4484,0.271776974153679,0.230889303944107,-0.110277586821253,0.0611342759279311,0.171411862749184,0.281231339679976,0.985909332706705,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_3,moving_first60,5098,0.304085437422663,0.278097965400469,-0.255635162751796,0.0202864039058629,0.275921566657658,0.308323602236178,0.987606404051955,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_3,moving_later,5689,0.24812032789963,0.236384784400156,-0.153764717029818,0.0330591097054995,0.186823826735318,0.24411782487389,1,1.524845,Diagnostic perturbation; certificate not transferred
master_gain_48,all,11690,0.270509326853067,0.262938836375202,-0.178615469960398,0.0312878778470113,0.209903347807409,0.271116559076349,0.917349653366712,1.538857,Diagnostic perturbation; certificate not transferred
master_gain_48,moving,10787,0.275308171901461,0.269343404677809,-0.201388653263549,0.0275432923300329,0.228931945593582,0.276327363338225,0.994142713252699,1.538857,Diagnostic perturbation; certificate not transferred
