frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
900,equalPeakXY,all,xyz,3,1,accepted,0.216510295752229,0.220511764030841,0.0828016418950431,0.285650614057347,0.0827794968542084,-0.00191488931248537
900,emMass,all,xy,1,1,accepted,0.355696685364869,0.36474535165789,0.0500867044552857,0.220883281369651,0.0476920930993442,0.0153017064079342
900,emMass,all,xy,2,1,accepted,0.355696685364869,0.36474535165672,0.0500880266005811,0.220883378663715,0.0476934872789189,0.0153016887929445
900,emMass,all,xy,3,1,accepted,0.355696685364869,0.364745351657245,0.0500864581907498,0.22087943300383,0.0476916476050497,0.0153022888095042
900,emMass,all,xyz,1,1,accepted,0.215411542400102,0.220832785768011,0.0857339715443964,0.316120032513397,0.085715749366105,-0.0017675370950675
900,emMass,all,xyz,2,1,accepted,0.215411542400102,0.220832785768534,0.0857318200177726,0.316117508768089,0.0857135996654354,-0.00176742636430084
900,emMass,all,xyz,3,1,accepted,0.215411542400102,0.220832785768294,0.0857343305541378,0.316123896610554,0.0857160959456597,-0.00176814348983108
900,wideSearch,all,xy,1,1,accepted,0.289438806680872,0.36063587600001,4.49403399512434,0.438568277579385,4.49140683770636,0.153642987271914
900,wideSearch,all,xy,2,1,accepted,0.289438806680872,0.36063587600001,4.49403399460325,0.43856827847092,4.49140683718373,0.153642987307912
900,wideSearch,all,xy,3,1,accepted,0.289438806680872,0.36063587600001,4.49403399396635,0.43856827945413,4.49140683654496,0.153642987351911
900,wideSearch,all,xyz,1,1,accepted,0.17653023366274,0.236555694362204,6.55356844136521,0.793007612154642,6.55134471900296,0.170709368372485
900,wideSearch,all,xyz,2,1,accepted,0.17653023366274,0.236555694362204,6.55356844119138,0.793007612101276,6.55134471882875,0.170709368384485
900,wideSearch,all,xyz,3,1,accepted,0.17653023366274,0.236555694362204,6.55356844113343,0.793007612061858,6.55134471877068,0.170709368388485
900,wideSearch,curb,xy,1,1,accepted,0.468651186688164,0.615026774917547,4.56044990801858,-0.117176857520009,4.55469018238415,0.22913032544854
900,wideSearch,curb,xy,2,1,accepted,0.468651186688164,0.615026774928795,4.56047369672268,-0.117221658617967,4.55471359373726,0.229138424373641
900,wideSearch,curb,xy,3,1,accepted,0.468651186688164,0.615026774922576,4.56048087887435,-0.117253083641793,4.55472053371525,0.229143418694834
900,wideSearch,curb,xyz,1,1,accepted,0.308403620470197,0.378118354406589,3.13152802911649,0.937184233125787,3.13152741739578,0.00195735555368357
