scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,37.2,0.348679070245135,0.140327124882876
fusion,37.3,0.396491887791835,0.15640393141543
fusion,37.4,0.410800942525961,0.139856214404366
fusion,37.5,0.326502749038957,0.13728183675842
fusion,37.6,0.403023690565944,-0.16932588077637
fusion,37.7,0.306627186288874,0.0201541751133864
fusion,37.8,0.020531333571943,0.505639175173173
fusion,37.9,0.0490089155620392,0.0462286121293178
fusion,38,0.167851088994395,-0.00962547993526162
fusion,38.1,0.253058618082571,0.0791402206007579
fusion,38.2,0.361048502922212,0.218570654602827
fusion,38.3,0.376623774711411,0.206178448937776
fusion,38.4,0.305446627641444,0.256955064550189
fusion,38.5,0.300163563560667,0.222803346027964
fusion,38.6,0.337976538988815,0.172242076405549
fusion,38.7,0.282385617022559,0.140299934907933
fusion,38.8,0.0991761748124894,0.198085227891194
fusion,38.9,0.217807951441346,0.172491473773725
fusion,39,0.395384541785484,-0.340644453889548
fusion,39.1,0.412750723591474,-0.312319753055355
fusion,39.2,0.420968464984324,-0.317126828995818
fusion,39.3,0.488408056665055,-0.339522994068165
fusion,39.4,0.392785395891685,-0.174395987458608
fusion,39.5,0.255167063521568,-0.0216372348660335
fusion,39.6,0.2583156700534,0.111966453220906
fusion,39.7,0.203060923610142,0.189994212855444
fusion,39.8,0.148598863240295,0.187309011346218
fusion,39.9,0.172822810770907,0.204563560112132
fusion,40,0.254136383391378,0.291081432047535
fusion,40.1,0.357530385279107,0.300132124747036
fusion,40.2,0.315368441945032,0.30414435250036
fusion,40.3,0.312932682263389,0.305982659631923
fusion,40.4,0.291641841204712,0.302715124140234
fusion,40.5,0.332656713921387,0.0876622310276033
fusion,40.6,0.261557112139238,0.0968758308558831
fusion,40.7,0.292472237910348,0.0276066817281412
fusion,40.8,0.0998708713642941,0.100578639166077
fusion,40.9,0.11594404566598,0.144293899186555
fusion,41,0.168066935916839,0.135733940885008
fusion,41.1,0.21387229821537,0.375723469346272
fusion,41.2,0.277368062888456,0.114087352598209
fusion,41.3,0.388216987543118,0.00282255259301889
fusion,41.4,0.317048518050215,-0.0662024911410155
fusion,41.5,0.398284169434655,-0.00667058442393304
fusion,41.6,0.307465187315544,0.0057310979987568
fusion,41.7,0.358867341259701,0.0117108905241466
fusion,41.8,0.111635017080478,0.107717911344726
fusion,41.9,0.0869091330402051,0.116818527386403
fusion,42,0.0887676818847899,0.346336983245536
fusion,42.1,0.146141691522684,0.460364433970922
fusion,42.2,0.158544363634102,0.512817786188882
fusion,42.3,0.193768168634069,0.13157205496249
fusion,42.4,0.279767139040461,0.183095550096741
fusion,42.5,0.373174641155834,-0.108875776860198
fusion,42.6,0.323933929852482,0.209838897771946
fusion,42.7,0.349327935369713,0.119850712547881
fusion,42.8,0.231963180277965,0.147182126591883
fusion,42.9,0.121814275526155,-0.288021660859628
fusion,43,0.220138313056738,-0.326573005026145
fusion,43.1,0.32152877437945,-0.281361015027684
fusion,43.2,0.433135280178095,-0.164109827938411
fusion,43.3,0.314773543708604,-0.0234839512188496
fusion,43.4,0.356434922822552,-0.0443894136293028
fusion,43.5,0.258104456152786,-0.0715023537111587
fusion,43.6,0.252510007965001,0.0182632846739317
fusion,43.7,0.218219241765926,-0.00133446538619841
fusion,43.8,0.0665421070409437,0.078931448947206
fusion,43.9,0.104709887313708,0.272424456248738
fusion,44,0.09649081998155,0.170277041927118
fusion,44.1,0.269747336772349,0.0332232607365364
fusion,44.2,0.46723891297149,0.0964133580144265
fusion,44.3,0.352059829184436,0.0439637711225244
fusion,44.4,0.334952248105612,0.0779851566687594
fusion,44.5,0.302481804130393,0.0818147299879134
fusion,44.6,0.263339738545231,0.125402720021326
fusion,44.7,0.282335453777678,0.222573574917899
fusion,44.8,0.105865039120724,0.148092290064593
fusion,44.9,0.139970483248588,0.212739113778711
fusion,45,0.197740165600273,0.0851294643306878
fusion,45.1,0.290164728813204,0.0493463934933843
fusion,45.2,0.309429032261612,0.0482353045565224
fusion,45.3,0.297010042021955,0.0470374615700705
fusion,45.4,0.245405198489634,0.0171637229596099
fusion,45.5,0.179883509569488,-0.0050649321623204
fusion,45.6,0.15842740761881,0.00789903412708419
fusion,45.7,0.164853420392375,0.0280191633421968
fusion,45.8,0.0952603251698327,0.253853539021633
fusion,45.9,0.142446351980951,0.243836118801555
fusion,46,0.157704471000519,0.321009465488211
fusion,46.1,0.221847421533549,0.356304375830213
fusion,46.2,0.285998687051388,0.229991846093282
fusion,46.3,0.406836492197466,0.18735337268122
fusion,46.4,0.34843751476607,0.0933811853307096
