queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
96,76,1,1,1,accepted,-0.272018805495463,0.624703550711274,-0.00067104918596339,0.63626523922675,0.375,15,0.33476721633972,484750.798631105,4976629.57954227,-2.24377163537647,484754.769486228,4976636.14982719,-2.06222298827053,484750.5266123,4976630.20424582,-2.24444268456243
96,81,1,1,1,accepted,-0.148435422917828,0.416419371962547,-0.00079623242199256,0.643249541370177,0.85,34,0.244834906131289,484750.798631105,4976629.57954227,-2.24377163537647,484753.999667463,4976634.61790569,-2.10853460623948,484750.650195682,4976629.99596164,-2.24456786779846
96,86,1,1,1,accepted,-0.0711086023948155,0.329138785600662,0.0037798360045902,0.519145027079999,0.825,33,0.213280754208303,484750.798631105,4976629.57954227,-2.24377163537647,484753.108566838,4976633.04982298,-2.14993440700194,484750.727522503,4976629.90868105,-2.23999179937188
101,71,1,1,1,accepted,-0.450483029941097,0.921987113542855,0.00470340403610248,0.503894322035746,0.371428571428571,13,0.461157428458317,484749.141663164,4976627.47798133,-2.31153881971215,484755.420174869,4976637.6638863,-2.01196992124979,484748.691180134,4976628.39996844,-2.30683541567605
101,76,1,1,1,accepted,-0.294392461655661,0.836976811289787,0.00433759632545616,0.549824800431175,0.371428571428571,13,0.469877181201567,484749.141663164,4976627.47798133,-2.31153881971215,484754.769486228,4976636.14982719,-2.06222298827053,484748.847270702,4976628.31495814,-2.3072012233867
101,81,1,1,1,accepted,-0.270887064398266,0.674212579615414,0.00479617526475051,0.407996262435101,0.714285714285714,25,0.339825517849038,484749.141663164,4976627.47798133,-2.31153881971215,484753.999667463,4976634.61790569,-2.10853460623948,484748.870776099,4976628.15219391,-2.3067426444474
101,86,1,1,1,accepted,-0.151172671292443,0.550562239252031,0.00297956945211775,0.435118050115291,0.685714285714286,24,0.316909887201633,484749.141663164,4976627.47798133,-2.31153881971215,484753.108566838,4976633.04982298,-2.14993440700194,484748.990490493,4976628.02854357,-2.30855925026003
101,91,1,1,1,accepted,-0.0651212623924948,0.409370176494122,0.00572120221552996,0.784533339384663,0.914285714285714,32,0.264708581599027,484749.141663164,4976627.47798133,-2.31153881971215,484752.074864564,4976631.40191625,-2.19295470410916,484749.076541901,4976627.8873515,-2.30581761749662
106,76,1,1,1,accepted,-0.353690274001565,1.00044827442616,0.00947791652100305,0.406105312491004,0.266666666666667,12,0.543564335114185,484747.025452257,4976625.18233138,-2.39628075538255,484754.769486228,4976636.14982719,-2.06222298827053,484746.671761983,4976626.18277965,-2.38680283886155
106,81,1,1,1,accepted,-0.378083747753408,0.933226714842021,0.00580343134578731,0.266880174492018,0.4,18,0.430211560464227,484747.025452257,4976625.18233138,-2.39628075538255,484753.999667463,4976634.61790569,-2.10853460623948,484746.647368509,4976626.11555809,-2.39047732403677
106,86,1,1,1,accepted,-0.239471102890093,0.795143716968596,0.00556318137625578,0.295583440398284,0.377777777777778,17,0.415665792977394,484747.025452257,4976625.18233138,-2.39628075538255,484753.108566838,4976633.04982298,-2.14993440700194,484746.785981154,4976625.9774751,-2.3907175740063
106,91,1,1,1,accepted,-0.114820516144391,0.559399482794106,0.0116303891774918,0.425226700331182,0.511111111111111,23,0.367243018771907,484747.025452257,4976625.18233138,-2.39628075538255,484752.074864564,4976631.40191625,-2.19295470410916,484746.910631741,4976625.74173086,-2.38465036620506
106,96,1,1,1,accepted,-0.112213807937223,0.435996744781733,0.00712662298385602,0.504962972013773,0.555555555555556,25,0.24354452433956,484747.025452257,4976625.18233138,-2.39628075538255,484750.798631105,4976629.57954227,-2.24377163537647,484746.913238449,4976625.61832812,-2.3891541323987
